Month,week,weekday,hour,in1,in2,in3,target
1,2,1,0,63300,58315,66515,63684
1,2,1,0.25,62450,58315,65688.5,62889
1,2,1,0.5,61600,58315,64862,62093
1,2,1,0.75,60400,57273,63558.5,60726
1,2,1,1,59200,56231,62255,59359
1,2,1,1.25,59250,56153,62150,59187
1,2,1,1.5,59300,56075,62045,59015
1,2,1,1.75,58900,55803.5,61882,58653
1,2,1,2,58500,55532,61719,58290
1,2,1,2.25,58000,55221.5,61536,58003
1,2,1,2.5,57500,54911,61353,57715
1,2,1,2.75,56500,53703.5,60467,56627
1,2,1,3,55500,52496,59581,55538
1,2,1,3.25,54700,51580,58942.5,54616
1,2,1,3.5,53900,50664,58304,53693
1,2,1,3.75,53250,49912.5,58065,53112
1,2,1,4,52600,49161,57826,52530
1,2,1,4.25,52250,48378.5,57681.5,52074
1,2,1,4.5,51900,47596,57537,51617
1,2,1,4.75,51800,47126,57666.5,51384
1,2,1,5,51700,46656,57796,51150
1,2,1,5.25,51750,46466.5,58738.5,51277
1,2,1,5.5,51800,46277,59681,51404
1,2,1,5.75,51800,46052,60730,51392
1,2,1,6,51800,45827,61779,51379
1,2,1,6.25,52000,45862,63638.5,51752
1,2,1,6.5,52200,45897,65498,52125
1,2,1,6.75,52450,45738.5,67337.5,52256
1,2,1,7,52700,45580,69177,52386
1,2,1,7.25,53050,45608.5,71085,52835
1,2,1,7.5,53400,45637,72993,53284
1,2,1,7.75,53750,45703.5,74297.5,53664
1,2,1,8,54100,45770,75602,54044
1,2,1,8.25,54650,45728,75756.5,54410
1,2,1,8.5,55200,45686,75911,54776
1,2,1,8.75,55700,45708,75668.5,55323
1,2,1,9,56200,45730,75426,55870
1,2,1,9.25,57100,46117,75432,56527
1,2,1,9.5,58000,46504,75438,57183
1,2,1,9.75,58550,46962.5,75298,57955
1,2,1,10,59100,47421,75158,58726
1,2,1,10.25,59700,47847.5,74959,59308
1,2,1,10.5,60300,48274,74760,59889
1,2,1,10.75,60600,48694,74510.5,60364
1,2,1,11,60900,49114,74261,60838
1,2,1,11.25,61300,49578.5,74256.5,61306
1,2,1,11.5,61700,50043,74252,61774
1,2,1,11.75,62200,50509,74192,62209
1,2,1,12,62700,50975,74132,62643
1,2,1,12.25,63100,51658,73607.5,63194
1,2,1,12.5,63500,52341,73083,63745
1,2,1,12.75,64250,52996,73247,64063
1,2,1,13,65000,53651,73411,64381
1,2,1,13.25,63550,53036,72755,63415
1,2,1,13.5,62100,52421,72099,62448
1,2,1,13.75,61300,51723,71683.5,61569
1,2,1,14,60500,51025,71268,60690
1,2,1,14.25,60050,50700,71020,60196
1,2,1,14.5,59600,50375,70772,59702
1,2,1,14.75,58450,49761.5,70037.5,58940
1,2,1,15,57300,49148,69303,58177
1,2,1,15.25,56800,48927,68841,57671
1,2,1,15.5,56300,48706,68379,57165
1,2,1,15.75,56150,48520.5,68154.5,56955
1,2,1,16,56000,48335,67930,56745
1,2,1,16.25,56200,48304.5,67744,56685
1,2,1,16.5,56400,48274,67558,56625
1,2,1,16.75,56800,48765,67884.5,56895
1,2,1,17,57200,49256,68211,57165
1,2,1,17.25,58800,50421,69710,58286
1,2,1,17.5,60400,51586,71209,59407
1,2,1,17.75,62100,53005.5,73169,60991
1,2,1,18,63800,54425,75129,62575
1,2,1,18.25,64850,55246,75829.5,63582
1,2,1,18.5,65900,56067,76530,64589
1,2,1,18.75,66500,56700,77058.5,65416
1,2,1,19,67100,57333,77587,66242
1,2,1,19.25,67400,57559.5,77002,66381
1,2,1,19.5,67700,57786,76417,66520
1,2,1,19.75,67550,57769,75657.5,66395
1,2,1,20,67400,57752,74898,66270
1,2,1,20.25,66900,57349,73788.5,65741
1,2,1,20.5,66400,56946,72679,65212
1,2,1,20.75,65800,56500,71755,64521
1,2,1,21,65200,56054,70831,63830
1,2,1,21.25,64450,55514.5,69986,63070
1,2,1,21.5,63700,54975,69141,62310
1,2,1,21.75,62850,54432.5,68366,61697
1,2,1,22,62000,53890,67591,61084
1,2,1,22.25,62150,54119,67836.5,61311
1,2,1,22.5,62300,54348,68082,61538
1,2,1,22.75,63500,55462.5,69070,62486
1,2,1,23,64700,56577,70058,63433
1,2,1,23.25,63900,56105.5,69438,63079
1,2,1,23.5,63100,55634,68818,62725
1,2,1,23.75,62750,55399,68618.5,62626
1,2,2,0,62400,55164,68419,62527
1,2,2,0.25,61450,54403.5,67378.5,61708
1,2,2,0.5,60500,53643,66338,60889
1,2,2,0.75,59250,52523.5,64921,59765
1,2,2,1,58000,51404,63504,58641
1,2,2,1.25,58450,51123,63201.5,58617
1,2,2,1.5,58900,50842,62899,58592
1,2,2,1.75,58950,50620.5,62488.5,58416
1,2,2,2,59000,50399,62078,58240
1,2,2,2.25,58600,50256,61872,58130
1,2,2,2.5,58200,50113,61666,58019
1,2,2,2.75,57450,49157,60613,57101
1,2,2,3,56700,48201,59560,56183
1,2,2,3.25,55750,47691.5,58845,55543
1,2,2,3.5,54800,47182,58130,54903
1,2,2,3.75,54550,46744,57464,54431
1,2,2,4,54300,46306,56798,53959
1,2,2,4.25,54250,46300,56625.5,53996
1,2,2,4.5,54200,46294,56453,54033
1,2,2,4.75,54550,46493,56184,54230
1,2,2,5,54900,46692,55915,54426
1,2,2,5.25,55700,47392,56230.5,55631
1,2,2,5.5,56500,48092,56546,56835
1,2,2,5.75,57550,48776,56804,57870
1,2,2,6,58600,49460,57062,58904
1,2,2,6.25,60650,50789,57556,60974
1,2,2,6.5,62700,52118,58050,63043
1,2,2,6.75,64800,53044,58473.5,65022
1,2,2,7,66900,53970,58897,67001
1,2,2,7.25,68850,55281,59589,68933
1,2,2,7.5,70800,56592,60281,70865
1,2,2,7.75,72150,57592.5,60954.5,71883
1,2,2,8,73500,58593,61628,72901
1,2,2,8.25,73800,59471.5,62173,73150
1,2,2,8.5,74100,60350,62718,73399
1,2,2,8.75,73850,60675.5,63171,73218
1,2,2,9,73600,61001,63624,73036
1,2,2,9.25,73700,61627.5,64275,73107
1,2,2,9.5,73800,62254,64926,73177
1,2,2,9.75,73900,62690.5,65307.5,73201
1,2,2,10,74000,63127,65689,73225
1,2,2,10.25,74000,63628.5,65966,73079
1,2,2,10.5,74000,64130,66243,72933
1,2,2,10.75,73900,64448,66202.5,72860
1,2,2,11,73800,64766,66162,72787
1,2,2,11.25,74050,65291,66371.5,72897
1,2,2,11.5,74300,65816,66581,73007
1,2,2,11.75,74450,66165.5,66842.5,73081
1,2,2,12,74600,66515,67104,73155
1,2,2,12.25,74050,66755.5,67304.5,72664
1,2,2,12.5,73500,66996,67505,72172
1,2,2,12.75,74100,67339,67820,72311
1,2,2,13,74700,67682,68135,72450
1,2,2,13.25,73950,67161,67322,71960
1,2,2,13.5,73200,66640,66509,71470
1,2,2,13.75,73100,66372.5,65736,71234
1,2,2,14,73000,66105,64963,70998
1,2,2,14.25,72800,66011,64655,70834
1,2,2,14.5,72600,65917,64347,70670
1,2,2,14.75,71600,65208.5,63597,69832
1,2,2,15,70600,64500,62847,68994
1,2,2,15.25,70050,64144.5,62312.5,68708
1,2,2,15.5,69500,63789,61778,68421
1,2,2,15.75,69200,63568.5,61379,68251
1,2,2,16,68900,63348,60980,68080
1,2,2,16.25,68850,63408.5,60782,68035
